商品id,商品名,商品詳細,価格,画像url,カテゴリーid,在庫,削除履歴
1,たまねぎ,染色体数は2n=16。生育適温は20℃前後で、寒さには強く氷点下でも凍害はほとんど見られないが、25℃以上の高温では生育障害が起こる。,200.000,office_chairx600.jpg,0,26,0
2,にんじん,細長い東洋系品種と、太く短い西洋系品種の2種類に大別され、ともに古くから薬や食用としての栽培が行われてきた。,150.000,office_chairx600.jpg,1,5,0
3,ピーマン,ピーマン自体はトウガラシの品種の一つであり、果実は肉厚でカプサイシンを含まない。,50.000,office_chairx600.jpg,1,40,0
4,なす,世界の各地で独自の品種が育てられている。加賀茄子などの一部例外もあるが日本においては南方ほど長実または大長実で、北方ほど小実品種となる。,120.000,office_chairx600.jpg,1,18,0
5,てすと,てすと,40.000,10965390836524090a28edc1.70438301.png,0,40,1
6,にく,現在日本で栽培されているものは、明治時代以降に導入されたもの。病害抵抗性、食味、収量などの点から品種改良が加えられる。,100.000,office_chairx600.jpg,2,39,0
7,ぶどう,"葉は両側に切れ込みのある15 - 20cmほどの大きさで、穂状の花をつける。",130.000,office_chairx600.jpg,2,88,0
8,いちご,イチゴとして流通しているものは、ほぼ全てオランダイチゴである。,250.000,office_chairx600.jpg,2,30,0
9,コーラ,複数あるコーラ飲料製造社ではこれらの香味料以外にその会社独自の香味料を加えることで独自の製品として開発している。,120.000,office_chairx600.jpg,3,39,0
10,カルピス,企業としてのカルピスの創業者は、僧侶出身の三島海雲。創業初期は国分グループだった。,120.000,office_chairx600.jpg,3,20,0
11,ウーロン茶,烏龍茶（ウーロンちゃ）は、中国茶のうち青茶（せいちゃ、あおちゃ）と分類され、茶葉を発酵途中で加熱して発酵を止め、半発酵させた茶である。,110.000,office_chairx600.jpg,3,0,0
12,ミネラルウォーター,"ミネラルウォーター（Mineral water）とは、容器入り飲料水のうち、地下水を原水とするものを言う。",100.000,office_chairx600.jpg,3,30,0
